Start URL,Lawyer Name,Lawyer Link,Firm Name,Location,Country,Practice Area,Lawyer Overview,Lawyer Ranking
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Alex Baykitch,https://whoswholegal.com/alex-baykitch,King & Wood Mallesons,"Melbourne, Australia",Australia,Arbitration,"Alex Baykitch receives plaudits from sources who note that he is “very experienced as both solicitor and arbitrator”, highlighting his expertise as counsel and in arbitrations.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Phillip Blunden,https://whoswholegal.com/phillip-blunden,Hinds Blunden,"Sydney, Australia",Australia,Arbitration Expert Witnesses,Phillip Blunden draws upon his engineering and financial analysis experience to provide expert testimony in disputes focusing on construction delay and costing matters.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Max Bonnell,https://whoswholegal.com/max-bonnell,White & Case,"Sydney, Australia",Australia,Arbitration,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Chester Brown,https://whoswholegal.com/chester-brown,7 Wentworth Selborne,"Sydney, Australia",Australia,Arbitration,"Chester Brown is “highly experienced” in the arbitration space, according to sources who consider him a top expert in international commercial arbitration proceedings.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Beth Cubitt,https://whoswholegal.com/beth-cubitt,Clyde & Co Australia,"Perth, Australia",Australia,Australia - Arbitration,Beth Cubitt possesses an impressive arbitration practice that sees her supporting clients through cross-border proceedings and major commercial arbitrations.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Kanaga Dharmananda SC,https://whoswholegal.com/kanaga-dharmananda-sc,Quayside Chambers,"Perth, Australia",Australia,Australia - Arbitration,Kanaga Dharmananda SC is recognised as “a leading barrister in Western Australia” by sources who applaud his sterling work in commercial arbitration proceedings under various arbitral rules.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Michael Feutrill,https://whoswholegal.com/michael-feutrill,Quayside Chambers,"Perth, Australia",Australia,Australia - Arbitration,Michael Feutrill SC is a well-known arbitration lawyer who excels when it comes to commercial arbitration disputes across a number of sectors.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Malcolm Holmes QC,https://whoswholegal.com/malcolm-holmes-qc,Eleven Wentworth Chambers,"Sydney, Australia",Australia,Arbitration,"Malcolm Holmes QC is “a barrister with a huge profile” say sources, who regularly acts across a spectrum of jurisdictions in complex arbitrations.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,The Honourable Michael Kirby AC CMG,https://whoswholegal.com/the-honourable-michael-kirby-ac-cmg,The Hon Michael Kirby AC CMG,"Sydney, Australia",Australia,Arbitration,"Independent arbitrator Michael Kirby AC CMG has decades of experience in major international arbitrations, often involving states and international organisations.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Bronwyn Lincoln,https://whoswholegal.com/bronwyn-lincoln,Corrs Chambers Westgarth,"Melbourne, Australia",Australia,Arbitration,Bronwyn Lincoln is a “very experienced solicitor in this area” according to sources who consider her a go-to name for complex proceedings across a range of sectors.  ,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Sam Luttrell,https://whoswholegal.com/sam-luttrell,Clifford Chance LLP,"Perth, Australia",Australia,Arbitration,Sam Luttrell has broad international arbitration experience and is identified by sources as “an extremely experienced practitioner”.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Peter McQueen,https://whoswholegal.com/peter-mcqueen,Independent Arbitrator,"Sydney, Australia",Australia,Australia - Arbitration,Peter McQueen is an independent arbitrator who focuses his practice on claims arising out of maritime matters. Sources praise him as “an experienced maritime solicitor who regularly acts as arbitrator”.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Peter Megens,https://whoswholegal.com/peter-megens,Outlook Legal Consulting Pty Ltd,"Victoria, Australia",Australia,Arbitration,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Daniel Meltz,https://whoswholegal.com/daniel-meltz,12 Wentworth Selborne Chambers,"Sydney, Australia",Australia,Australia - Arbitration,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Allan Myers AC QC,https://whoswholegal.com/allan-myers-ac-qc,Victorian Bar,"Melbourne, Australia",Australia,Australia - Arbitration,"A “leading barrister in Victoria”, Allan Myers AC QC displays impressive acumen in supporting clients as counsel and arbitrator in major commercial proceedings.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Gregory Nell SC,https://whoswholegal.com/gregory-nell-sc,New Chambers,"Sydney, Australia",Australia,Australia - Arbitration,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Ian David Nosworthy,https://whoswholegal.com/ian-david-nosworthy,Nosworthy Partners,"Adelaide, Australia",Australia,Australia - Arbitration,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Michael Potter,https://whoswholegal.com/michael-potter,Axiom Forensics Pty Ltd,"Sydney, Australia",Australia,Arbitration Expert Witnesses,Michael Potter displays considerable knowledge in forensic accounting and is highly sought after by clients when it comes to complex arbitral disputes.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Georgia Quick,https://whoswholegal.com/georgia-quick,Ashurst,"Sydney, Australia",Australia,Australia - Arbitration,Georgia Quick is an immensely talented dispute resolution practitioner who offers clients key experience in international arbitration that often cover infrastructure and energy projects.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Ron Salter,https://whoswholegal.com/ron-salter,Dispute Resolution Chambers,"Toorak, Australia",Australia,Australia - Arbitration,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Tony Samuel,https://whoswholegal.com/tony-samuel,Sapere Forensic,"Sydney, Australia",Australia,Arbitration Expert Witnesses," Tony Samuel is “absolutely excellent” according to peers, who note, “He is well regarded in both domestic and international cases.”",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Michelle Sindler,https://whoswholegal.com/michelle-sindler,Independent Arbitrator,"Sydney, Australia",Australia,Arbitration,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Andrew Stephenson,https://whoswholegal.com/andrew-stephenson,Corrs Chambers Westgarth,"Melbourne, Australia",Australia,Arbitration,Andrew Stephenson is a seasoned practitioner with impressive experience in managing arbitration proceedings that focus on major infrastructure and technological projects.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Owain Stone,https://whoswholegal.com/owain-stone,KordaMentha,"Melbourne, Australia",Australia,Arbitration Expert Witnesses,"“Top expert” Owain Stone is a respected practitioner in the market, report commentators, and he stands out for his “sensible and balanced” testimony.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Geoff Swier,https://whoswholegal.com/geoff-swier,Farrier Swier Consulting,"Melbourne, Australia",Australia,Australia - Arbitration Expert Witnesses,Geoff Swier is an expert in disputes relating to major infrastructure and utilities projects. His expertise in the area makes him an invaluable testifying witness in large-scale arbitrations.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,David Van Homrigh,https://whoswholegal.com/david-van-homrigh,KordaMentha,"Brisbane, Australia",Australia,Australia - Arbitration Expert Witnesses,David Van Homrigh has a remarkable practice that sees him testifying in high-profile arbitrations relating to sophisticated fraud disputes and economic loss claims.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Andrew Battisson,https://whoswholegal.com/andrew-battisson,Norton Rose Fulbright Australia,"Sydney, Australia",Australia,Arbitration Future Leaders - Partners,Andrew Battisson is “someone I highly respect” says one interviewee. He has a “strong track record” and is “very good to work with” in an international arbitration context.,Future Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Lee Carroll,https://whoswholegal.com/lee-carroll,Corrs Chambers Westgarth,"Melbourne, Australia",Australia,Arbitration Future Leaders - Non-Partners,,Future Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Joachim (Jo) Delaney,https://whoswholegal.com/joachim-jo-delaney,Baker McKenzie,"Sydney, Australia",Australia,Arbitration Future Leaders - Partners,"Joachim Delaney is a highly sought-after lawyer with significant experience in complex arbitrations, and often works on cases with a cross-border element.",Future Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Peter Harris,https://whoswholegal.com/peter-harris,Clifford Chance LLP,"Perth, Australia",Australia,Arbitration Future Leaders - Non-Partners,,Future Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Cameron Hassall,https://whoswholegal.com/cameron-hassall,Clifford Chance,"Sydney, Australia",Australia,Arbitration Future Leaders - Partners,Cameron Hassall draws high praise from sources who “would definitely single him out” as “a leading name” in the Hong Kong market for international arbitration matters.,Future Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Edwina Kwan,https://whoswholegal.com/edwina-kwan,King & Wood Mallesons,"Sydney, Australia",Australia,Arbitration Future Leaders - Non-Partners,,Future Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Daisy Mallett,https://whoswholegal.com/daisy-mallett,King & Wood Mallesons,"Sydney, Australia",Australia,Arbitration Future Leaders - Partners,,Future Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=46&RegionID=&CountryID=036,Julian Wyatt,https://whoswholegal.com/julian-wyatt,Independent Practitioner,"Melbourne, Australia",Australia,Arbitration Future Leaders - Non-Partners,,Future Leader
https://whoswholegal.com/market-insight-tool?PracticeArea=441&RegionID=&CountryID=036,Matt Fehon,https://whoswholegal.com/matt-fehon,McGrathNicol,"Sydney, Australia",Australia,Experts - Asset Recovery Experts,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=441&RegionID=&CountryID=036,Rob Locke,https://whoswholegal.com/rob-locke,Ernst & Young,"Sydney, Australia",Australia,Experts - Asset Recovery Experts,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=441&RegionID=&CountryID=036,Stephen Millington,https://whoswholegal.com/stephen-millington,KordaMentha,"Melbourne, Australia",Australia,Experts - Asset Recovery Experts,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=441&RegionID=&CountryID=036,Ian Morton,https://whoswholegal.com/ian-morton,FTI Consulting,"Melbourne, Australia",Australia,Experts - Asset Recovery Experts,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Howard Rapke,https://whoswholegal.com/howard-rapke,Holding Redlich,"Melbourne, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery","Howard Rapke is renowned for his impressive experience in complex contentious proceedings relating to fraud, corporate crime and regulatory investigations.  ",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,John Agius SC,https://whoswholegal.com/john-agius-sc,16 Wardell Chambers,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery","John Agius SC is one of the top-ranked practitioners in Australia for business crime and investigations work, whom peers praise as a “very forensic and very sharp lawyer”.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Grant Bonner,https://whoswholegal.com/grant-bonner,Norton Rose Fulbright Australia,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Simon Buchen SC,https://whoswholegal.com/simon-buchen-sc,Forbes Chambers,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery","Simon Buchen SC is a respected criminal barrister with over 20 years of experience in both defence and prosecution, as well as criminal appellate matters.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Hament Dhanji SC,https://whoswholegal.com/hament-dhanji-sc,Forbes Chambers,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",Hament Dhanji SC has nearly 30 years of experience representing clients before Australia’s highest courts on money laundering and criminal procedure matters.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Philip A Dunn QC,https://whoswholegal.com/philip-a-dunn-qc,William Crockett Chambers,"Melbourne, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",Philip Dunn QC is a well-regarded litigator with over 40 years of experience conducting defence proceedings in corporate and tax fraud matters.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Howard Rapke,https://whoswholegal.com/howard-rapke,Holding Redlich,"Melbourne, Australia",Australia,Business Crime Defence - Individuals,"Howard Rapke is renowned for his impressive experience in complex contentious proceedings relating to fraud, corporate crime and regulatory investigations.  ",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Andrew Eastwood,https://whoswholegal.com/andrew-eastwood,Herbert Smith Freehills,"Sydney, Australia",Australia,Asset Recovery,Andrew Eastwood is a well-regarded figure in the market who specialises in regulatory matters and is known for his bribery and criminal cartel work.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Matt Fehon,https://whoswholegal.com/matt-fehon,McGrathNicol,"Sydney, Australia",Australia,Asset Recovery Experts,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,John Agius SC,https://whoswholegal.com/john-agius-sc,16 Wardell Chambers,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery","John Agius SC is one of the top-ranked practitioners in Australia for business crime and investigations work, whom peers praise as a “very forensic and very sharp lawyer”.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Grant Bonner,https://whoswholegal.com/grant-bonner,Norton Rose Fulbright Australia,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Steven Fleming,https://whoswholegal.com/steven-fleming,Jones Day,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",Steven Fleming secures recommendations from peers across Australia for his expert handling of cross-border disputes as well as foreign corrupt practices investigations.  ,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Guy Foster,https://whoswholegal.com/guy-foster,Allens,"Sydney, Australia",Australia,Asset Recovery,Guy Foster is a distinguished figure in the business crime and asset recovery space who is well versed in leading corporate fraud and securities litigation proceedings.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Simon Buchen SC,https://whoswholegal.com/simon-buchen-sc,Forbes Chambers,"Sydney, Australia",Australia,Business Crime Defence - Individuals,"Simon Buchen SC is a respected criminal barrister with over 20 years of experience in both defence and prosecution, as well as criminal appellate matters.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Hament Dhanji SC,https://whoswholegal.com/hament-dhanji-sc,Forbes Chambers,"Sydney, Australia",Australia,Business Crime Defence - Individuals,Hament Dhanji SC has nearly 30 years of experience representing clients before Australia’s highest courts on money laundering and criminal procedure matters.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Tim Game SC,https://whoswholegal.com/tim-game-sc,Forbes Chambers,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery","Tim Game SC is a stalwart of the business crime and investigation space in Australia. He wields considerable experience handling a broad range of criminal law and corporate crime proceedings, as well as criminal appeals.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Peter Haig,https://whoswholegal.com/peter-haig,Allens,"Melbourne, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery","Peter Haig is well regarded in the domestic market for his impressive work on class action proceedings, bribery and corruption matters and regulatory investigations.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Philip A Dunn QC,https://whoswholegal.com/philip-a-dunn-qc,William Crockett Chambers,"Melbourne, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",Philip Dunn QC is a well-regarded litigator with over 40 years of experience conducting defence proceedings in corporate and tax fraud matters.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Andrew Eastwood,https://whoswholegal.com/andrew-eastwood,Herbert Smith Freehills,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",Andrew Eastwood is a well-regarded figure in the market who specialises in regulatory matters and is known for his bribery and criminal cartel work.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Jenni Hill,https://whoswholegal.com/jenni-hill,Clifford Chance LLP,"Perth, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Annette Hughes,https://whoswholegal.com/annette-hughes,Corrs Chambers Westgarth,"Melbourne, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Tim L'Estrange,https://whoswholegal.com/tim-lestrange,Jones Day,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Steven Fleming,https://whoswholegal.com/steven-fleming,Jones Day,"Sydney, Australia",Australia,Business Crime Defence - Corporates,Steven Fleming secures recommendations from peers across Australia for his expert handling of cross-border disputes as well as foreign corrupt practices investigations.  ,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Guy Foster,https://whoswholegal.com/guy-foster,Allens,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",Guy Foster is a distinguished figure in the business crime and asset recovery space who is well versed in leading corporate fraud and securities litigation proceedings.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Rob Locke,https://whoswholegal.com/rob-locke,Ernst & Young,"Sydney, Australia",Australia,Asset Recovery Experts,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Grant Marjoribanks,https://whoswholegal.com/grant-marjoribanks,Herbert Smith Freehills,"Sydney, Australia",Australia,Asset Recovery,"Grant Marjoribanks is a leading light in the Australian market who brings “calmness and knowledge” to investigations, anti-bribery and corruption proceedings, and has an impressive “understanding of commercial issues and solutions”.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Tim Game SC,https://whoswholegal.com/tim-game-sc,Forbes Chambers,"Sydney, Australia",Australia,Business Crime Defence - Individuals,"Tim Game SC is a stalwart of the business crime and investigation space in Australia. He wields considerable experience handling a broad range of criminal law and corporate crime proceedings, as well as criminal appeals.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Peter Haig,https://whoswholegal.com/peter-haig,Allens,"Melbourne, Australia",Australia,Business Crime Defence - Corporates,"Peter Haig is well regarded in the domestic market for his impressive work on class action proceedings, bribery and corruption matters and regulatory investigations.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Tobin Meagher,https://whoswholegal.com/tobin-meagher,Clayton Utz,"Sydney, Australia",Australia,Asset Recovery,"Tobin Meagher is a well-respected lawyer whose expertise lies in acting for large multinationals in criminal investigation proceedings, including fraud, bribery and price-fixing matters.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Stephen Millington,https://whoswholegal.com/stephen-millington,KordaMentha,"Melbourne, Australia",Australia,Asset Recovery Experts,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Jenni Hill,https://whoswholegal.com/jenni-hill,Clifford Chance LLP,"Perth, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Annette Hughes,https://whoswholegal.com/annette-hughes,Corrs Chambers Westgarth,"Melbourne, Australia",Australia,Business Crime Defence - Corporates,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,John Mitchell,https://whoswholegal.com/john-mitchell,Arnold Bloch Leibler,"Sydney, Australia",Australia,Asset Recovery,John Mitchell is one of the titans of the Australian market when it comes to business crime and investigations work acting for international corporations and high-net-worth individuals.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Ian Morton,https://whoswholegal.com/ian-morton,FTI Consulting,"Melbourne, Australia",Australia,Asset Recovery Experts,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Tim L'Estrange,https://whoswholegal.com/tim-lestrange,Jones Day,"Sydney, Australia",Australia,Business Crime Defence - Corporates,,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Grant Marjoribanks,https://whoswholegal.com/grant-marjoribanks,Herbert Smith Freehills,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery","Grant Marjoribanks is a leading light in the Australian market who brings “calmness and knowledge” to investigations, anti-bribery and corruption proceedings, and has an impressive “understanding of commercial issues and solutions”.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Rachel Nicolson,https://whoswholegal.com/rachel-nicolson,Allens,"Melbourne, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery","Rachel Nicolson is a well-respected lawyer who is singled out for her strong experience and expertise with regulatory investigations, anti-bribery, corruption and human rights matters.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Craig Phillips,https://whoswholegal.com/craig-phillips,Grindal & Patrick,"Melbourne, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Tobin Meagher,https://whoswholegal.com/tobin-meagher,Clayton Utz,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery","Tobin Meagher is a well-respected lawyer whose expertise lies in acting for large multinationals in criminal investigation proceedings, including fraud, bribery and price-fixing matters.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,John Mitchell,https://whoswholegal.com/john-mitchell,Arnold Bloch Leibler,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",John Mitchell is one of the titans of the Australian market when it comes to business crime and investigations work acting for international corporations and high-net-worth individuals.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=50&RegionID=&CountryID=036,Rachel Nicolson,https://whoswholegal.com/rachel-nicolson,Allens,"Melbourne, Australia",Australia,Business Crime Defence - Corporates,"Rachel Nicolson is a well-respected lawyer who is singled out for her strong experience and expertise with regulatory investigations, anti-bribery, corruption and human rights matters.",Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Ian Temby AO QC,https://whoswholegal.com/ian-temby-ao-qc,3 St James' Hall,"Sydney, Australia",Australia,"Australia - Business Crime, Investigations & Asset Recovery",Ian Temby AO QC is a prominent name in the business crime and asset recovery space with nearly 50 years of experience in the field.,Recommended
https://whoswholegal.com/market-insight-tool?PracticeArea=47&RegionID=&CountryID=036,Sidney Wang,https://whoswholegal.com/sidney-wang,Clayton Utz,"Sydney, Australia",Australia,Asset Recovery,"Sidney Wang is a standout name in the market who possesses extensive experience as a litigator and arbitration expert in fraud, deceptive conduct and oppression proceedings.",Recommended
